id,title,author,chunks,avg_words_per_topic,pct_short_topics
564,"Technical Analysis of the Financial Markets: A Comprehensive Guide to Trading Methods and Applications","John J. Murphy",263,2.94,39.1
119,"Buddhism as Philosophy: An Introduction","Mark Siderits",327,2.95,46.3
967,"Trade Your Way to Financial Freedom","Van K Tharp",307,2.95,32.8
44,"AI Engineering: Building Applications With Foundation Models","Chip Huyen",370,2.96,40.2
729,"The Little Book That Still Beats the Market","Joel Greenblatt",89,2.96,30.8
291,"How to Cook Everything the Basics","Mark Bittman",315,2.97,34.9
294,"How to Day Trade for a Living: Trading Strategies & Tactics to Consistently Earn Passive Income in Any Market - Stocks, Forex, Cryptocurrency, or Options","Bryan Lee",80,2.97,33.8
913,"Winning Chess: How to Perfect Your Attacking Play","Irving Chernev, Fred Reinfeld",95,2.97,41.3
948,"How To Learn Deep Learning And","Radek Osmulski",69,2.97,33.3
145,"Come Into My Trading Room: A Complete Guide to Trading","Alexander Elder",280,2.99,33.3
573,"The Age of Prediction: Algorithms, AI, and the Shifting Shadows of Risk","Igor Tulchinsky, Christopher E. Mason",179,3.01,37.1
766,"The Obelisk Gate","N. K. Jemisin",262,3.03,38.7
931,"6 Secrets to Startup Success","Bradberry, John.",211,3.03,34.7
570,"The 4-Hour Workweek","Timothy Ferriss",231,3.05,30.6
87,"Beginning Theory: An Introduction to Literary and Cultural Theory: Fourth Edition","Peter Barry",324,3.06,40.8
151,"Cooking Classics: Japan","Catherina Hosoi",29,3.06,37.2
725,"The Lessons of History","Will Durant, Ariel Durant",91,3.07,44.0
876,"Trading Volatility: Trading Volatility, Correlation, Term Structure and Skew","Colin Bennett",218,3.09,30.9
630,"The Complete Idiot's Guide to Chess","Patrick Wolff",270,3.1,35.9
403,"Modern Literary Criticism and Theory: A History","M. A. R. Habib",1322,3.11,40.7
456,"Philosophy : The Basics (5th Edition)","Nigel Warburton",178,3.11,36.2
687,"The Fourth Turning Is Here: What the Seasons of History Tell Us About How and When This Crisis Will End","Neil Howe",461,3.11,37.7
702,"The Great Gatsby","Francis Scott Fitzgerald",105,3.12,37.1
551,"Superforecasting: The Art and Science of Prediction","Philip E. Tetlock, Dan Gardner",236,3.13,30.7
757,"The New Trading for a Living: Psychology, Trading Tactics, Risk Management, and Record-Keeping","Alexander Elder",243,3.13,31.7
442,Origin,"Dan Brown",304,3.16,34.2
78,"Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones","James Clear",169,3.17,32.2
686,"The Fourth Turning","William Strauss",361,3.18,34.8
49,"Alien Clay","Adrian Tchaikovsky",266,3.2,30.3
227,"Fooled by Randomness: The Hidden Role of Chance in Life and in the Markets","Nassim Nicholas Taleb",232,3.21,32.1
250,"Good Habits, Bad Habits","Wendy Wood",230,3.21,32.0
228,Fools,"Pat Cadigan",192,3.22,32.4
385,"Make It Stick: The Science of Successful Learning","Peter C. Brown, Henry L. Roediger Iii, Mark A. McDaniel",209,3.22,32.0
878,"Transitions (40th Anniversary Edition): Making Sense of Life's Changes","William Bridges, Susan Bridges",143,3.22,32.3
288,"How Data Happened: A History From the Age of Reason to the Age of Algorithms","Chris Wiggins, Matthew L. Jones",238,3.23,34.5
584,"The Art of Possibility: Transforming Professional and Personal Life","Rosamund Stone Zander, Benjamin Zander",141,3.23,33.0
321,"Invisible Cities","Italo Calvino",59,3.24,30.5
826,"The Starless Sea","Erin Morgenstern",318,3.25,33.5
824,"The St. Martin's Guide to Writing","Rise B. Axelrod, Charles R. Cooper",1073,3.27,32.6
907,"Where the Axe Is Buried","Ray Nayler",165,3.27,33.0
132,"Change Your Thoughts - Change Your Life","Wayne W. Dyer",203,3.28,34.1
764,"The Norton Anthology of Theory and Criticism","Vincent B. Leitch, William E. Cain, Laurie A. Finke, Barbara E. Johnson, John McGowan, T. Denean Sharpley-Whiting, Jeffrey J. Williams",4477,3.31,32.5
7,"21 Lessons for the 21st Century","Yuval Noah Harari",271,3.35,33.2
654,"The Denial of Death","Ernest Becker",321,3.38,31.2
